Version,N,BLOCK_SIZE,THREADS,Time_sec,GFLOPs
naive_gpu,512,16,,0.01,74.32
shared_gpu,512,16,,0.00,163.26
cublas_gpu,512,,,0.00,246.99
naive_gpu,512,32,,0.00,183.17
shared_gpu,512,32,,0.00,191.18
cublas_gpu,512,,,0.00,248.46
naive_gpu,512,64,,0.00,2938.01
shared_gpu,512,64,,0.00,2694.70
cublas_gpu,512,,,0.00,248.45
naive_gpu,512,128,,0.00,3489.05
shared_gpu,512,128,,0.00,438.71
cublas_gpu,512,,,0.00,247.20
naive_gpu,1024,16,,0.02,281.14
shared_gpu,1024,16,,0.03,215.44
cublas_gpu,1024,,,0.02,287.26
naive_gpu,1024,32,,0.03,251.16
shared_gpu,1024,32,,0.02,275.01
cublas_gpu,1024,,,0.02,302.15
naive_gpu,1024,64,,0.00,25368.77
shared_gpu,1024,64,,0.00,23377.99
cublas_gpu,1024,,,0.02,302.14
naive_gpu,1024,128,,0.00,24103.46
shared_gpu,1024,128,,0.00,25287.20
cublas_gpu,1024,,,0.02,300.46
naive_gpu,2048,16,,0.14,375.17
shared_gpu,2048,16,,0.20,252.96
cublas_gpu,2048,,,0.14,368.12
naive_gpu,2048,32,,0.20,252.56
shared_gpu,2048,32,,0.18,279.39
cublas_gpu,2048,,,0.14,367.90
naive_gpu,2048,64,,0.00,188270.07
shared_gpu,2048,64,,0.00,225071.65
cublas_gpu,2048,,,0.14,367.76
naive_gpu,2048,128,,0.00,198527.36
shared_gpu,2048,128,,0.00,176478.43
cublas_gpu,2048,,,0.14,368.35
naive_gpu,4096,16,,1.08,382.67
shared_gpu,4096,16,,1.62,253.97
cublas_gpu,4096,,,1.06,390.38
naive_gpu,4096,32,,1.59,258.53
shared_gpu,4096,32,,1.48,278.36
cublas_gpu,4096,,,1.06,389.76
naive_gpu,4096,64,,0.00,2118530.34
shared_gpu,4096,64,,0.00,2373959.43
cublas_gpu,4096,,,1.06,389.75
naive_gpu,4096,128,,0.00,2384856.41
shared_gpu,4096,128,,0.00,2165602.52
cublas_gpu,4096,,,1.06,389.74
naive_gpu,8192,16,,11.88,277.71
shared_gpu,8192,16,,13.23,249.37
cublas_gpu,8192,,,8.49,388.37
naive_gpu,8192,32,,13.07,252.46
shared_gpu,8192,32,,12.01,274.67
cublas_gpu,8192,,,8.50,388.03
naive_gpu,8192,64,,0.02,191030.15
shared_gpu,8192,64,,0.01,240300.98
cublas_gpu,8192,,,8.45,390.53
naive_gpu,8192,128,,0.00,1425419.53
shared_gpu,8192,128,,0.00,2334221.39
cublas_gpu,8192,,,8.45,390.34
naive_gpu,16384,16,,158.40,166.60
shared_gpu,16384,16,,105.79,249.44
cublas_gpu,16384,,,67.59,390.42
naive_gpu,16384,32,,105.24,250.75
shared_gpu,16384,32,,96.00,274.88
cublas_gpu,16384,,,67.55,390.67
naive_gpu,16384,64,,0.01,3501233.81
shared_gpu,16384,64,,0.00,14097266.95
cublas_gpu,16384,,,67.44,391.28
naive_gpu,16384,128,,0.01,4196075.29
shared_gpu,16384,128,,0.01,4738800.32
cublas_gpu,16384,,,67.46,391.17
