N,tile_size,blocks,avg_time_ms,avg_power_watts,energy_mJ,total_mem_bytes,free_mem_bytes
256,8,32,0.325101,3.38,0.0011,6442450944,6244270080
256,16,16,0.327645,21.35,0.0070,6442450944,6244270080
256,32,8,0.456768,21.3,0.0097,6442450944,6244270080
512,8,64,2.372384,21.35,0.0507,6442450944,6244270080
512,16,32,2.379981,21.34,0.0508,6442450944,6244270080
512,32,16,2.627152,21.38,0.0562,6442450944,6244270080
1024,8,128,22.086070,21.41,0.4729,6442450944,6244270080
1024,16,64,18.948362,38.68,0.7329,6442450944,6244270080
1024,32,32,26.458883,10.39,0.2749,6442450944,6244270080
2048,8,256,957.673718,17.004,16.2843,6442450944,6244270080
2048,16,128,116.167341,3.44,0.3996,6442450944,6244270080
2048,32,64,113.325236,15.39,1.7441,6442450944,6244270080
4096,8,512,3760.046240,24.4087,91.7778,6442450944,6244270080
4096,16,256,2011.069080,21.3444,42.9251,6442450944,6244270080
4096,32,128,2243.151172,23.8933,53.5963,6442450944,6244270080
8192,8,1024,5751.408398,23.1024,132.8713,6442450944,6244270080
8192,16,512,5877.266162,69.8,410.2332,6442450944,6244270080
8192,32,256,5518.553906,88.4791,488.2767,6442450944,6244270080
